id;titulo;zipNome;remotePath;destPath
"2238";"Pacote de Matrizes Meninas Conto de Fadas";"ContodeFadas-ezbemn.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/ContodeFadas-ezbemn.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\ContodeFadas-ezbemn.zip"
"2396";"Pacote de Matrizes 54 Coroas com Ramos";"CoroasRamos-lypj8v.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/CoroasRamos-lypj8v.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\CoroasRamos-lypj8v.zip"
"2408";"Pacote de Matrizes Elefante Arco Íris";"ElefanteArcoIris-axlbxz.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/ElefanteArcoIris-axlbxz.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\ElefanteArcoIris-axlbxz.zip"
"2415";"Pacote de Matrizes Elefante Bebê";"ElefantesBebe-dyl6p2.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/ElefantesBebe-dyl6p2.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\ElefantesBebe-dyl6p2.zip"
"2420";"Pacote de Matrizes Frutinhas 1";"MatrizesFrutinhas-zloohy.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/MatrizesFrutinhas-zloohy.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\MatrizesFrutinhas-zloohy.zip"
"2427";"Pacote de Matrizes Animais Bebê Cute";"Animais-bebe-cute-quepbr.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/Animais-bebe-cute-quepbr.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\Animais-bebe-cute-quepbr.zip"
"2435";"Matriz Bordado Moto Yamaha MT07";"YAMAHAMT07-b3nsci.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/YAMAHAMT07-b3nsci.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\YAMAHAMT07-b3nsci.zip"
"2449";"Matriz Bordado Faculdade Emescam";"Emescam-o9mute.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/Emescam-o9mute.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\Emescam-o9mute.zip"
"2573";"Matriz Bordado La Universidad Umax";"univumax-ktmsxw.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/univumax-ktmsxw.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\univumax-ktmsxw.zip"
"2598";"Matriz Bordado Igreja o Brasil Para Cristo";"igrejabrasil-zjgnwi.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/igrejabrasil-zjgnwi.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\igrejabrasil-zjgnwi.zip"
"2602";"Matriz Bordado Cuidador de Idoso 1";"cuidadoridoso9cm-mncp2e.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/03/cuidadoridoso9cm-mncp2e.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\cuidadoridoso9cm-mncp2e.zip"
