id;titulo;zipNome;remotePath;destPath;status
"10659";"Matriz Bordado Carro Nissan 350z";"nissan350z-nkfdkp.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/nissan350z-nkfdkp.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\nissan350z-nkfdkp.zip";"PENDENTE"
"10667";"Matriz Bordado Logo Fibra";"logo-fibra-zprxrt.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/logo-fibra-zprxrt.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\logo-fibra-zprxrt.zip";"PENDENTE"
"10673";"Pacote Matrizes de Bordado Posto Shell";"posto-shell-nnocbd.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/posto-shell-nnocbd.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\posto-shell-nnocbd.zip";"PENDENTE"
"10690";"Matriz Bordado Carro Pontiac Firebird";"pontiac-firebird-1us9gr.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/pontiac-firebird-1us9gr.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\pontiac-firebird-1us9gr.zip";"PENDENTE"
"10734";"Matriz Bordado Univale - Universidade Vale do Rio Doce";"univale-kz07ry.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/univale-kz07ry.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\univale-kz07ry.zip";"PENDENTE"
"10742";"Matriz Bordado Peixe e Pesca 4";"peixepesca4-ndpwbp.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/peixepesca4-ndpwbp.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\peixepesca4-ndpwbp.zip";"PENDENTE"
"10752";"Matriz Bordado Enfermagem Anhanguera";"enfermagem-anhanguera-yopuik.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/enfermagem-anhanguera-yopuik.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\enfermagem-anhanguera-yopuik.zip";"PENDENTE"
"10761";"Matriz Bordado Brasão Psicologia 7";"psicologia7-jxirp6.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/psicologia7-jxirp6.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\psicologia7-jxirp6.zip";"PENDENTE"
"10784";"Matriz Bordado Caveira Aph Médico Tático Vermelho";"caveira-ath-ilnqha.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/caveira-ath-ilnqha.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\caveira-ath-ilnqha.zip";"PENDENTE"
"10795";"Matriz Bordado Caveira Aph Médico Tático Preto";"caveira-aph-preto-khk5j7.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/caveira-aph-preto-khk5j7.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\caveira-aph-preto-khk5j7.zip";"PENDENTE"
"10812";"Matriz Bordado Galo Português de Barcelos";"galo-barcelos-1cw9g0.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/galo-barcelos-1cw9g0.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\galo-barcelos-1cw9g0.zip";"PENDENTE"
"10824";"Matriz Bordado Faculdade Uniderp";"uniderp-apog0c.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/uniderp-apog0c.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\uniderp-apog0c.zip";"PENDENTE"
"10834";"Matriz Bordado Escudo Federação Portuguesa de Futebol FPF";"escudo-fpf-rhvv0w.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/escudo-fpf-rhvv0w.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\escudo-fpf-rhvv0w.zip";"PENDENTE"
"10841";"Matriz Bordado Faculdade Uniderp (cópia)";"uniderp-apog0c.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/uniderp-apog0c.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\uniderp-apog0c.zip";"PENDENTE"
"10842";"Matriz Bordado Rota do Pará";"rota-do-para-1hwg8d.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/rota-do-para-1hwg8d.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\rota-do-para-1hwg8d.zip";"PENDENTE"
"10847";"Matriz Bordado Universidade Federal de Lavras UFLA";"universidade-lavras-l2aolg.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/universidade-lavras-l2aolg.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\universidade-lavras-l2aolg.zip";"PENDENTE"
"10853";"Matriz Bordado Goku e Freeza";"goku-freeza-9e81ql.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/goku-freeza-9e81ql.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\goku-freeza-9e81ql.zip";"PENDENTE"
"10863";"Matriz Bordado Maple Bear Canadian School";"maple-bear-xtyeym.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/maple-bear-xtyeym.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\maple-bear-xtyeym.zip";"PENDENTE"
"10868";"Matriz Bordado Maple Bear Canadian School 2";"maple-bear2-g29qsx.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/maple-bear2-g29qsx.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\maple-bear2-g29qsx.zip";"PENDENTE"
"10882";"Matriz Bordado Rick and Morty";"rick-morty-4npzek.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/rick-morty-4npzek.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\rick-morty-4npzek.zip";"PENDENTE"
"10887";"Matriz Bordado Crazy Monkey";"crazy-monkey-49ouko.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/crazy-monkey-49ouko.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\crazy-monkey-49ouko.zip";"PENDENTE"
"10892";"Matriz Bordado Universidade Vale do Paraíba";"universidade-paraiba-pngoch.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/01/universidade-paraiba-pngoch.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\universidade-paraiba-pngoch.zip";"PENDENTE"
