id;titulo;zipNome;file_path
"2191";"Matriz Bordado Estetoscópio Enfermagem 1";"Estetoscopio1-wuw2yd.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Estetoscopio1-wuw2yd.zip"
"2209";"Matriz Bordado Estetoscópio Enfermagem 2";"Estetoscopio2-cmwivn.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Estetoscopio2-cmwivn.zip"
"2216";"Matriz Bordado Estetoscópio Enfermagem 3";"Estetoscopio3-3ajo2y.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Estetoscopio3-3ajo2y.zip"
"2238";"Pacote de Matrizes Meninas Conto de Fadas";"ContodeFadas-ezbemn.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/ContodeFadas-ezbemn.zip"
"2396";"Pacote de Matrizes 54 Coroas com Ramos";"CoroasRamos-lypj8v.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/CoroasRamos-lypj8v.zip"
"2408";"Pacote de Matrizes Elefante Arco Íris";"ElefanteArcoIris-axlbxz.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/ElefanteArcoIris-axlbxz.zip"
"2415";"Pacote de Matrizes Elefante Bebê";"ElefantesBebe-dyl6p2.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/ElefantesBebe-dyl6p2.zip"
"2420";"Pacote de Matrizes Frutinhas 1";"MatrizesFrutinhas-zloohy.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/MatrizesFrutinhas-zloohy.zip"
"2427";"Pacote de Matrizes Animais Bebê Cute";"Animais-bebe-cute-quepbr.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Animais-bebe-cute-quepbr.zip"
"2435";"Matriz Bordado Moto Yamaha MT07";"YAMAHAMT07-b3nsci.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/YAMAHAMT07-b3nsci.zip"
"2449";"Matriz Bordado Faculdade Emescam";"Emescam-o9mute.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Emescam-o9mute.zip"
"2573";"Matriz Bordado La Universidad Umax";"univumax-ktmsxw.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/univumax-ktmsxw.zip"
"2598";"Matriz Bordado Igreja o Brasil Para Cristo";"igrejabrasil-zjgnwi.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/igrejabrasil-zjgnwi.zip"
"2602";"Matriz Bordado Cuidador de Idoso 1";"cuidadoridoso9cm-mncp2e.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/cuidadoridoso9cm-mncp2e.zip"
"2607";"Matriz Bordado Jeep Troller";"trollergold24cm-ekoqfz.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/trollergold24cm-ekoqfz.zip"
"2618";"Matriz Bordado Cuidador de Idoso 2";"cuidadoridoso9cm-2vim3w.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/cuidadoridoso9cm-2vim3w.zip"
"2620";"Matriz Bordado Técnico em Enfermagem";"tecenfermagem9cm-lsxlzi.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/tecenfermagem9cm-lsxlzi.zip"
"2625";"Matriz Bordado Técnico em Enfermagem 2";"tecenfermagem-5vexhh.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/tecenfermagem-5vexhh.zip"
"2668";"Matriz Bordado Polícia Militar do Tocantins";"policiatocantins-qpwhu8.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/policiatocantins-qpwhu8.zip"
"2677";"Matriz Bordado Operações Especiais COESP";"COESP-fhh0lb.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/COESP-fhh0lb.zip"
"2681";"Matriz Bordado UFRRJ 1";"UFRRJ-9ub6cx.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/UFRRJ-9ub6cx.zip"
"2839";"Matriz Bordado Libertas Quae Sera Tamen";"LIBERTAS-gmgbbr.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/LIBERTAS-gmgbbr.zip"
"2914";"Matriz Bordado Escudo da Ordem Demolay";"DEMOLAY-p50oyv.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/DEMOLAY-p50oyv.zip"
"2920";"Matriz Bordado Logo Psicanalista";"psicanalista-1azest.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/psicanalista-1azest.zip"
"2926";"Matriz Bordado Cuidador de Idoso 3";"cuidador3-xzguxm.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/cuidador3-xzguxm.zip"
"2933";"Matriz Bordado Cuidadora Idosos";"cuidadora-idoso-z0mvod.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/cuidadora-idoso-z0mvod.zip"
"2941";"Matriz Bordado Colégio Estadual da Polícia Militar de Goiás";"colegioestadual-vmupx2.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/colegioestadual-vmupx2.zip"
"3067";"Matriz Bordado Cuidador de Idosos 4";"Cuidador4-3oamvu.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/04/Cuidador4-3oamvu.zip"
